date,mean_absolute_deviation
2021-07-18 20:09:14.185137+00:00,18.18887595838771
2021-07-25 20:09:14.185137+00:00,11.688706575793434
2021-08-01 20:09:14.185137+00:00,8.247953797335061
2021-08-08 20:09:14.185137+00:00,8.19167619461334
2021-08-15 20:09:14.185137+00:00,5.207468413020472
2021-08-22 20:09:14.185137+00:00,3.58161594166268
2021-08-29 20:09:14.185137+00:00,3.1248031914924423
2021-09-05 20:09:14.185137+00:00,2.9959716249492274
2021-09-12 20:09:14.185137+00:00,2.506777927189854
2021-09-19 20:09:14.185137+00:00,2.7434851190577243
2021-09-26 20:09:14.185137+00:00,2.465251975313012
2021-10-03 20:09:14.185137+00:00,2.114271552874443
2021-10-10 20:09:14.185137+00:00,2.0739318116643326
2021-10-17 20:09:14.185137+00:00,2.426990494815275
2021-10-24 20:09:14.185137+00:00,2.5711295651372184
2021-10-31 20:09:14.185137+00:00,2.3371309107806644
2021-11-07 20:09:14.185137+00:00,2.15305665313328
2021-11-14 20:09:14.185137+00:00,2.092496245392954
2021-11-21 20:09:14.185137+00:00,1.9474297810534027
2021-11-28 20:09:14.185137+00:00,1.9590448785114456
2021-12-05 20:09:14.185137+00:00,1.7665970077623432
2021-12-12 20:09:14.185137+00:00,1.7043842193623597
2021-12-19 20:09:14.185137+00:00,1.663201107689615
2021-12-26 20:09:14.185137+00:00,1.7350210441986316
2022-01-02 20:09:14.185137+00:00,1.753849286184121
2022-01-09 20:09:14.185137+00:00,1.6351878774012278
2022-01-16 20:09:14.185137+00:00,1.4948816756671597
2022-01-23 20:09:14.185137+00:00,1.4632622780356859
2022-01-30 20:09:14.185137+00:00,1.4210035752499317
2022-02-06 20:09:14.185137+00:00,1.3212666181362127
2022-02-13 20:09:14.185137+00:00,1.1481752143049389
2022-02-20 20:09:14.185137+00:00,1.087874938602362
2022-02-27 20:09:14.185137+00:00,1.1371291350363053
2022-03-06 20:09:14.185137+00:00,1.2087658877618022
