prob_bucket,total,actual_yes_count,actual_yes_pct
0-10%,794,3,0.003778337531486146
10-20%,861,10,0.011614401858304297
20-30%,633,39,0.061611374407582936
30-40%,436,52,0.11926605504587157
40-50%,305,99,0.32459016393442625
50-60%,373,195,0.5227882037533512
60-70%,414,319,0.7705314009661836
70-80%,588,540,0.9183673469387755
80-90%,724,697,0.962707182320442
90-100%,587,585,0.9965928449744463
