subgroup,total_mention_contracts,accuracy,ext_trades,ext_profit,gt60_trades,gt60_profit,gt70_trades,gt70_profit,gt80_trades,gt80_profit,gt90_trades,gt90_profit
Group 1: Trump Markets,3409,0.9152244059841596,2513,0.12310116359655944,1368,0.13841404825354547,1117,0.12338471307581288,789,0.09139597557480486,359,0.05687065981749609
Group 2: Press Briefings,1058,0.8790170132325141,746,0.13949739824199814,430,0.09513928372469187,355,0.11602834942253105,224,0.08065867624358089,88,0.03966619904661298
Group 3: Mayoral (Zohran Mamdani),799,0.9023779724655819,590,0.11535586952133157,270,0.12934460612796844,212,0.13928323400783732,131,0.11549955299038096,49,0.06332014161828145
Group 4: Niche / One-offs,449,0.8708240534521158,338,0.0654312007578829,245,0.03211929945193421,215,0.031025457759957256,167,0.02615275980793232,91,0.03826369727879892
