date,mean_absolute_deviation
2025-02-02 15:01:32.906367+00:00,20.518253282298225
2025-02-09 15:01:32.906367+00:00,20.518253282298225
2025-02-16 15:01:32.906367+00:00,10.887846243833291
2025-02-23 15:01:32.906367+00:00,6.5339669024429705
2025-03-02 15:01:32.906367+00:00,7.087004860335944
2025-03-09 15:01:32.906367+00:00,5.899379195732638
2025-03-16 15:01:32.906367+00:00,5.928437972006539
2025-03-23 15:01:32.906367+00:00,5.45689291780806
2025-03-30 15:01:32.906367+00:00,5.15601386797856
2025-04-06 15:01:32.906367+00:00,4.411527949204634
2025-04-13 15:01:32.906367+00:00,4.086485417202966
2025-04-20 15:01:32.906367+00:00,4.815051919323692
2025-04-27 15:01:32.906367+00:00,5.120087220347556
2025-05-04 15:01:32.906367+00:00,4.381055074759144
2025-05-11 15:01:32.906367+00:00,4.401399380634013
2025-05-18 15:01:32.906367+00:00,4.585603539252226
2025-05-25 15:01:32.906367+00:00,3.9021586022533756
2025-06-01 15:01:32.906367+00:00,3.6100114670148495
2025-06-08 15:01:32.906367+00:00,3.6979167828680506
2025-06-15 15:01:32.906367+00:00,4.5114993189504355
2025-06-22 15:01:32.906367+00:00,4.586852950710661
2025-06-29 15:01:32.906367+00:00,4.278643032745213
2025-07-06 15:01:32.906367+00:00,3.7123346456426645
2025-07-13 15:01:32.906367+00:00,3.8501116658232077
2025-07-20 15:01:32.906367+00:00,3.6709023471594455
2025-07-27 15:01:32.906367+00:00,3.395808123765735
2025-08-03 15:01:32.906367+00:00,3.306694824191686
2025-08-10 15:01:32.906367+00:00,2.8747836156244575
2025-08-17 15:01:32.906367+00:00,3.041651610002456
2025-08-24 15:01:32.906367+00:00,3.0620953316739747
2025-08-31 15:01:32.906367+00:00,3.1162981101892084
2025-09-07 15:01:32.906367+00:00,3.3812594596726395
2025-09-14 15:01:32.906367+00:00,3.35034311359616
2025-09-21 15:01:32.906367+00:00,3.0138450357793882
2025-09-28 15:01:32.906367+00:00,2.9056075836228836
2025-10-05 15:01:32.906367+00:00,2.7353749833817838
2025-10-12 15:01:32.906367+00:00,2.2037714635711563
2025-10-19 15:01:32.906367+00:00,1.7686497200367792
2025-10-26 15:01:32.906367+00:00,1.8882193870497568
2025-11-02 15:01:32.906367+00:00,1.8332406953700071
2025-11-09 15:01:32.906367+00:00,1.5890072533134458
2025-11-16 15:01:32.906367+00:00,2.2043804941367937
2025-11-23 15:01:32.906367+00:00,2.1101330056500878
2025-11-30 15:01:32.906367+00:00,2.1101330056500878
2025-12-07 15:01:32.906367+00:00,2.1101330056500878
2025-12-14 15:01:32.906367+00:00,2.1101330056500878
2025-12-21 15:01:32.906367+00:00,1.90625619974562
2025-12-28 15:01:32.906367+00:00,1.8750300243469955
2026-01-04 15:01:32.906367+00:00,1.6261808272556406
2026-01-11 15:01:32.906367+00:00,1.5700010990794417
2026-01-18 15:01:32.906367+00:00,1.4969326103114138
2026-01-25 15:01:32.906367+00:00,1.0181986603849853
2026-02-01 15:01:32.906367+00:00,1.410374392692596
2026-02-08 15:01:32.906367+00:00,1.5655314548389911
2026-02-15 15:01:32.906367+00:00,1.7279664284310134
2026-02-22 15:01:32.906367+00:00,1.7081279057412264
