subgroup,total_mention_contracts,accuracy,ext_trades,ext_profit,gt60_trades,gt60_profit,gt70_trades,gt70_profit,gt80_trades,gt80_profit,gt90_trades,gt90_profit
Group 1: Trump Markets,3462,0.9139225880993646,2546,0.12179729291931944,1390,0.1374748471580184,1133,0.12187126861046858,799,0.0886170419286421,365,0.05398247074253119
Group 2: Press Briefings,1058,0.8790170132325141,746,0.139497398241998,430,0.09513928372469187,355,0.11602834942253105,224,0.08065867624358108,88,0.03966619904661298
Group 3: Mayoral (Zohran Mamdani),932,0.9152360515021459,706,0.11689624753921106,355,0.12606846516071013,294,0.13008953045982988,201,0.10341974520653628,92,0.05447526188616063
Group 4: Niche / One-offs,13305,0.9226606538895152,10209,0.10642020792716197,6311,0.07823592765119103,5558,0.07747794862610176,4453,0.06207258313579211,2845,0.037185856716670906
