subgroup,total_mention_contracts,accuracy,ext_trades,ext_profit,gt60_trades,gt60_profit,gt70_trades,gt70_profit,gt80_trades,gt80_profit,gt90_trades,gt90_profit
Group 1: Trump Markets,2749,0.7322662786467806,1431,0.02268773051825234,1654,0.27565136343895974,1206,0.20045020701994604,736,0.13106164288178693,272,0.06577899355594062
Group 2: Other Major Politicians,384,0.7447916666666666,213,0.033862034609234745,243,0.2592539291279884,183,0.1905185502721333,123,0.1290153835188428,52,0.06693669288720219
Group 3: Debates,93,0.7419354838709677,57,0.013437858619314446,57,0.24942599702691884,48,0.2060795847978691,29,0.1372005398392376,10,0.06643430787037079
Group 4: Niche / One-offs,1938,0.7657378740970072,1171,0.03866198469788698,1277,0.21204929854532426,1042,0.15747155873059115,742,0.09906892089677508,429,0.0497770842207479
